order_id,customer_id,order_date,payment_method,order_status,order_month,order_dayofweek
155,3,2025-10-21,naver_pay,completed,2025-10,Tuesday
156,140,2025-12-17,bank_transfer,completed,2025-12,Wednesday
157,114,2025-09-19,kakao_pay,refunded,2025-09,Friday
158,77,2025-09-23,naver_pay,completed,2025-09,Tuesday
159,117,2026-04-04,kakao_pay,completed,2026-04,Saturday
160,99,2025-12-24,naver_pay,completed,2025-12,Wednesday
161,61,2026-05-30,naver_pay,refunded,2026-05,Saturday
162,92,2025-10-21,kakao_pay,completed,2025-10,Tuesday
163,6,2026-05-07,naver_pay,completed,2026-05,Thursday
164,3,2026-08-05,card,refunded,2026-08,Wednesday
165,128,2026-06-21,kakao_pay,completed,2026-06,Sunday
166,91,2026-03-11,bank_transfer,completed,2026-03,Wednesday
167,65,2025-10-11,bank_transfer,completed,2025-10,Saturday
168,11,2026-08-06,kakao_pay,cancelled,2026-08,Thursday
169,9,2025-09-06,kakao_pay,completed,2025-09,Saturday
170,24,2026-04-12,kakao_pay,completed,2026-04,Sunday
171,107,2025-12-21,bank_transfer,completed,2025-12,Sunday
172,34,2026-03-03,kakao_pay,refunded,2026-03,Tuesday
173,129,2026-03-06,kakao_pay,completed,2026-03,Friday
174,66,2026-02-20,naver_pay,completed,2026-02,Friday
175,87,2026-01-12,card,cancelled,2026-01,Monday
176,20,2025-11-12,bank_transfer,completed,2025-11,Wednesday
177,102,2025-09-21,kakao_pay,completed,2025-09,Sunday
178,102,2025-12-09,card,completed,2025-12,Tuesday
179,138,2026-09-02,card,cancelled,2026-09,Wednesday
180,95,2026-08-02,kakao_pay,refunded,2026-08,Sunday
181,98,2026-03-06,kakao_pay,completed,2026-03,Friday
182,60,2025-10-16,naver_pay,completed,2025-10,Thursday
183,144,2026-07-18,kakao_pay,refunded,2026-07,Saturday
184,57,2025-09-27,card,cancelled,2025-09,Saturday
185,78,2026-02-04,naver_pay,completed,2026-02,Wednesday
186,36,2026-03-11,card,completed,2026-03,Wednesday
187,78,2025-09-30,naver_pay,completed,2025-09,Tuesday
188,25,2026-04-14,bank_transfer,refunded,2026-04,Tuesday
189,35,2026-05-04,naver_pay,cancelled,2026-05,Monday
190,95,2026-05-26,naver_pay,refunded,2026-05,Tuesday
191,40,2025-09-22,naver_pay,completed,2025-09,Monday
192,126,2025-10-30,naver_pay,completed,2025-10,Thursday
193,9,2025-10-29,kakao_pay,completed,2025-10,Wednesday
194,114,2026-07-14,naver_pay,completed,2026-07,Tuesday
195,93,2026-04-08,card,completed,2026-04,Wednesday
196,140,2025-12-28,kakao_pay,completed,2025-12,Sunday
197,102,2025-10-05,kakao_pay,completed,2025-10,Sunday
198,32,2025-12-07,naver_pay,completed,2025-12,Sunday
199,55,2025-10-18,card,completed,2025-10,Saturday
200,86,2026-04-06,bank_transfer,completed,2026-04,Monday
201,145,2026-06-25,bank_transfer,completed,2026-06,Thursday
202,142,2026-02-10,bank_transfer,refunded,2026-02,Tuesday
203,56,2026-04-25,bank_transfer,completed,2026-04,Saturday
204,38,2026-04-21,card,completed,2026-04,Tuesday
205,38,2026-07-06,bank_transfer,refunded,2026-07,Monday
206,65,2026-04-30,bank_transfer,completed,2026-04,Thursday
207,7,2025-11-28,bank_transfer,completed,2025-11,Friday
208,92,2026-06-30,bank_transfer,refunded,2026-06,Tuesday
209,83,2026-03-23,card,completed,2026-03,Monday
210,68,2026-01-27,card,completed,2026-01,Tuesday
211,108,2026-02-23,card,completed,2026-02,Monday
212,122,2026-08-20,naver_pay,completed,2026-08,Thursday
213,132,2026-02-20,card,cancelled,2026-02,Friday
214,129,2025-12-26,bank_transfer,refunded,2025-12,Friday
215,12,2026-08-02,kakao_pay,cancelled,2026-08,Sunday
216,8,2026-04-18,card,cancelled,2026-04,Saturday
217,103,2026-02-15,naver_pay,completed,2026-02,Sunday
218,126,2025-12-29,naver_pay,completed,2025-12,Monday
219,21,2026-04-10,kakao_pay,refunded,2026-04,Friday
220,38,2026-05-01,card,completed,2026-05,Friday
221,71,2025-09-25,kakao_pay,cancelled,2025-09,Thursday
222,136,2026-04-26,kakao_pay,cancelled,2026-04,Sunday
223,130,2026-06-16,naver_pay,completed,2026-06,Tuesday
224,30,2025-10-10,bank_transfer,cancelled,2025-10,Friday
225,116,2026-06-25,bank_transfer,cancelled,2026-06,Thursday
226,87,2025-11-21,naver_pay,cancelled,2025-11,Friday
227,107,2026-05-02,card,completed,2026-05,Saturday
228,110,2025-11-22,kakao_pay,completed,2025-11,Saturday
229,96,2025-12-13,bank_transfer,cancelled,2025-12,Saturday
230,18,2026-05-16,card,completed,2026-05,Saturday
231,24,2025-10-03,naver_pay,completed,2025-10,Friday
232,96,2025-11-01,bank_transfer,refunded,2025-11,Saturday
233,16,2025-12-04,kakao_pay,completed,2025-12,Thursday
234,106,2025-11-08,kakao_pay,cancelled,2025-11,Saturday
235,14,2026-04-04,kakao_pay,refunded,2026-04,Saturday
236,80,2025-10-01,kakao_pay,completed,2025-10,Wednesday
237,148,2025-11-01,bank_transfer,completed,2025-11,Saturday
238,124,2025-09-03,bank_transfer,completed,2025-09,Wednesday
239,90,2026-02-07,kakao_pay,completed,2026-02,Saturday
240,72,2026-02-23,bank_transfer,cancelled,2026-02,Monday
241,144,2026-05-27,card,refunded,2026-05,Wednesday
242,69,2026-04-20,card,completed,2026-04,Monday
243,70,2026-03-03,kakao_pay,completed,2026-03,Tuesday
244,90,2025-12-24,card,completed,2025-12,Wednesday
245,37,2025-09-14,naver_pay,completed,2025-09,Sunday
246,37,2025-11-30,card,completed,2025-11,Sunday
247,136,2025-12-22,bank_transfer,cancelled,2025-12,Monday
248,108,2026-06-03,naver_pay,completed,2026-06,Wednesday
249,41,2025-12-20,kakao_pay,completed,2025-12,Saturday
250,84,2026-06-02,card,completed,2026-06,Tuesday
251,40,2026-08-01,bank_transfer,refunded,2026-08,Saturday
252,13,2026-02-25,card,completed,2026-02,Wednesday
253,114,2025-09-29,naver_pay,cancelled,2025-09,Monday
254,114,2026-05-26,naver_pay,completed,2026-05,Tuesday
255,56,2025-12-01,card,completed,2025-12,Monday
256,111,2026-08-26,card,completed,2026-08,Wednesday
257,125,2025-12-13,kakao_pay,completed,2025-12,Saturday
258,57,2026-07-04,naver_pay,refunded,2026-07,Saturday
259,15,2026-07-06,card,completed,2026-07,Monday
260,78,2026-05-02,bank_transfer,completed,2026-05,Saturday
261,66,2026-04-19,kakao_pay,completed,2026-04,Sunday
262,31,2026-05-16,card,cancelled,2026-05,Saturday
263,111,2026-07-11,bank_transfer,completed,2026-07,Saturday
264,98,2026-08-30,bank_transfer,refunded,2026-08,Sunday
265,144,2025-11-17,kakao_pay,completed,2025-11,Monday
266,102,2026-02-14,card,cancelled,2026-02,Saturday
267,5,2025-10-16,naver_pay,completed,2025-10,Thursday
268,81,2026-04-01,naver_pay,refunded,2026-04,Wednesday
269,104,2025-11-28,naver_pay,completed,2025-11,Friday
270,30,2026-05-11,naver_pay,completed,2026-05,Monday
271,84,2025-10-29,bank_transfer,refunded,2025-10,Wednesday
272,118,2026-08-20,kakao_pay,completed,2026-08,Thursday
273,112,2025-12-14,card,completed,2025-12,Sunday
274,112,2026-07-20,naver_pay,refunded,2026-07,Monday
275,21,2025-10-27,naver_pay,completed,2025-10,Monday
276,87,2025-09-29,bank_transfer,completed,2025-09,Monday
277,44,2025-09-25,card,refunded,2025-09,Thursday
278,30,2025-11-05,bank_transfer,completed,2025-11,Wednesday
279,90,2026-07-06,bank_transfer,completed,2026-07,Monday
280,27,2025-12-30,bank_transfer,completed,2025-12,Tuesday
281,51,2026-04-21,bank_transfer,refunded,2026-04,Tuesday
282,40,2026-06-19,card,completed,2026-06,Friday
283,127,2026-07-19,naver_pay,refunded,2026-07,Sunday
284,149,2026-04-11,naver_pay,refunded,2026-04,Saturday
285,83,2026-08-25,kakao_pay,completed,2026-08,Tuesday
286,113,2025-12-23,card,cancelled,2025-12,Tuesday
287,114,2026-02-19,kakao_pay,completed,2026-02,Thursday
288,15,2025-10-20,kakao_pay,refunded,2025-10,Monday
289,19,2026-03-03,kakao_pay,cancelled,2026-03,Tuesday
290,116,2026-05-27,card,completed,2026-05,Wednesday
291,95,2025-12-29,kakao_pay,completed,2025-12,Monday
292,24,2026-05-31,naver_pay,cancelled,2026-05,Sunday
293,149,2026-02-05,card,cancelled,2026-02,Thursday
294,147,2025-12-16,bank_transfer,completed,2025-12,Tuesday
295,122,2026-03-15,bank_transfer,completed,2026-03,Sunday
296,116,2026-03-30,card,completed,2026-03,Monday
297,22,2026-03-12,bank_transfer,completed,2026-03,Thursday
298,64,2026-02-19,naver_pay,cancelled,2026-02,Thursday
299,135,2025-10-03,bank_transfer,completed,2025-10,Friday
300,96,2026-04-22,kakao_pay,cancelled,2026-04,Wednesday
